FUNCTION	Actinobaculum schaalii FB123-CNA-2 AGWM01	Actinobaculum schaalii DSM 15541 AUBK01	Actinobaculum sp. oral taxon 183 str. F0552 AWSB01	Actinobaculum massiliae ACS-171-V-Col2 AGWL01	Actinobaculum urinale DSM 15805 ATUY01	Actinoalloteichus cyanogriseus JOAL01	Actinocatenispora sera JOEG01	Actinoalloteichus cyanogriseus DSM 43889 AUBJ01	Actinoalloteichus cyanogriseus JODV01	Actinokineospora enzanensis DSM 44649 ARFV01	
(2E,6E)-farnesyl diphosphate synthase (EC 2.5.1.10)	fig|6666666.104566.peg.1532	fig|6666666.104573.peg.905	fig|6666666.104574.peg.258	fig|6666666.104604.peg.1224	fig|6666666.104655.peg.797	fig|6666666.104664.peg.1649,fig|6666666.104664.peg.3776	fig|6666666.104681.peg.291,fig|6666666.104681.peg.292,fig|6666666.104681.peg.1002,fig|6666666.104681.peg.3564	fig|6666666.104683.peg.875	fig|6666666.104692.peg.2305,fig|6666666.104692.peg.2531		
(2E,6Z)-farnesyl diphosphate synthase (EC 2.5.1.68)						fig|6666666.104664.peg.4247				fig|6666666.104740.peg.3193	
(R)-citramalate synthase (EC 2.3.1.182)						fig|6666666.104664.peg.4527	fig|6666666.104681.peg.2017	fig|6666666.104683.peg.4444	fig|6666666.104692.peg.4474	fig|6666666.104740.peg.2007	
(S)-2-hydroxy-acid oxidase (EC 1.1.3.15)						fig|6666666.104664.peg.1545		fig|6666666.104683.peg.768	fig|6666666.104692.peg.1742		
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54)						fig|6666666.104664.peg.162		fig|6666666.104683.peg.2415	fig|6666666.104692.peg.193	fig|6666666.104740.peg.5076	
1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)	fig|6666666.104566.peg.1459,fig|6666666.104566.peg.1461	fig|6666666.104573.peg.283,fig|6666666.104573.peg.284	fig|6666666.104574.peg.502	fig|6666666.104604.peg.1160	fig|6666666.104655.peg.744		fig|6666666.104681.peg.6462			fig|6666666.104740.peg.2141	
1,4-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74)		fig|6666666.104573.peg.902		fig|6666666.104604.peg.1227		fig|6666666.104664.peg.3751		fig|6666666.104683.peg.4302	fig|6666666.104692.peg.2562	fig|6666666.104740.peg.4898,fig|6666666.104740.peg.5851	
1,4-dihydroxy-2-naphthoyl-CoA hydrolase (EC 3.1.2.28) in phylloquinone biosynthesis										fig|6666666.104740.peg.5176	
1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)					fig|6666666.104655.peg.1278	fig|6666666.104664.peg.1975,fig|6666666.104664.peg.4538,fig|6666666.104664.peg.4762	fig|6666666.104681.peg.1202,fig|6666666.104681.peg.1999,fig|6666666.104681.peg.2825	fig|6666666.104683.peg.1714,fig|6666666.104683.peg.3339,fig|6666666.104683.peg.3449,fig|6666666.104683.peg.4430	fig|6666666.104692.peg.3625,fig|6666666.104692.peg.4129,fig|6666666.104692.peg.4240,fig|6666666.104692.peg.4460	fig|6666666.104740.peg.1995,fig|6666666.104740.peg.2050,fig|6666666.104740.peg.3897,fig|6666666.104740.peg.4033,fig|6666666.104740.peg.4597,fig|6666666.104740.peg.5640,fig|6666666.104740.peg.6369	
1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)			fig|6666666.104574.peg.726			fig|6666666.104664.peg.3204	fig|6666666.104681.peg.3955	fig|6666666.104683.peg.3269	fig|6666666.104692.peg.4058	fig|6666666.104740.peg.2179	
1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)			fig|6666666.104574.peg.405			fig|6666666.104664.peg.4629	fig|6666666.104681.peg.1006,fig|6666666.104681.peg.5761	fig|6666666.104683.peg.1854	fig|6666666.104692.peg.3762	fig|6666666.104740.peg.4691	
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)			fig|6666666.104574.peg.729			fig|6666666.104664.peg.3205	fig|6666666.104681.peg.3953	fig|6666666.104683.peg.3271	fig|6666666.104692.peg.4060	fig|6666666.104740.peg.2177	
1-phosphofructokinase (EC 2.7.1.56)			fig|6666666.104574.peg.1556					fig|6666666.104683.peg.84	fig|6666666.104692.peg.104	fig|6666666.104740.peg.4229	
1-pyrroline-4-hydroxy-2-carboxylate deaminase (EC 3.5.4.22)							fig|6666666.104681.peg.1887				
16S rRNA (guanine(966)-N(2))-methyltransferase (EC 2.1.1.171)	fig|6666666.104566.peg.650	fig|6666666.104573.peg.1538	fig|6666666.104574.peg.1402	fig|6666666.104604.peg.45						fig|6666666.104740.peg.1973	
16S rRNA processing protein RimM	fig|6666666.104566.peg.841	fig|6666666.104573.peg.1020	fig|6666666.104574.peg.310	fig|6666666.104604.peg.1731	fig|6666666.104655.peg.1704	fig|6666666.104664.peg.3188	fig|6666666.104681.peg.3991	fig|6666666.104683.peg.3245	fig|6666666.104692.peg.4034	fig|6666666.104740.peg.1929	
2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16)						fig|6666666.104664.peg.1193	fig|6666666.104681.peg.4394	fig|6666666.104683.peg.1481	fig|6666666.104692.peg.1837		
2'-5' RNA ligase						fig|6666666.104664.peg.3257	fig|6666666.104681.peg.1243	fig|6666666.104683.peg.3323	fig|6666666.104692.peg.4113		
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (EC 2.3.1.89)										fig|6666666.104740.peg.4790	
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)			fig|6666666.104574.peg.141			fig|6666666.104664.peg.4312	fig|6666666.104681.peg.966	fig|6666666.104683.peg.4671	fig|6666666.104692.peg.4704	fig|6666666.104740.peg.4003,fig|6666666.104740.peg.4029	
2,3-butanediol dehydrogenase, R-alcohol forming, (R)- and (S)-acetoin-specific (EC 1.1.1.4)	fig|6666666.104566.peg.17,fig|6666666.104566.peg.63	fig|6666666.104573.peg.348,fig|6666666.104573.peg.384		fig|6666666.104604.peg.755,fig|6666666.104604.peg.795							
2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58)						fig|6666666.104664.peg.383,fig|6666666.104664.peg.528	fig|6666666.104681.peg.2695	fig|6666666.104683.peg.1574,fig|6666666.104683.peg.2242	fig|6666666.104692.peg.419,fig|6666666.104692.peg.3441		
2,3-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatase (EC 3.1.3.77)						fig|6666666.104664.peg.164		fig|6666666.104683.peg.2417	fig|6666666.104692.peg.195	fig|6666666.104740.peg.5078	
2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase (EC 4.1.2.-)						fig|6666666.104664.peg.1132		fig|6666666.104683.peg.1948	fig|6666666.104692.peg.3847		
2,5-diamino-6-ribitylamino-pyrimidinone 5-phosphate deaminase, fungal (EC 3.5.4.-)						fig|6666666.104664.peg.3940	fig|6666666.104681.peg.4775	fig|6666666.104683.peg.4105	fig|6666666.104692.peg.2365	fig|6666666.104740.peg.292	
2-Amino-2-deoxy-isochorismate synthase (EC 4.1.3.-)										fig|6666666.104740.peg.1551,fig|6666666.104740.peg.5621	
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)			fig|6666666.104574.peg.918			fig|6666666.104664.peg.804	fig|6666666.104681.peg.3466	fig|6666666.104683.peg.2680	fig|6666666.104692.peg.3328	fig|6666666.104740.peg.2417	
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)			fig|6666666.104574.peg.917			fig|6666666.104664.peg.809	fig|6666666.104681.peg.3465	fig|6666666.104683.peg.2681	fig|6666666.104692.peg.3327	fig|6666666.104740.peg.2418	
2-Oxobutyrate oxidase, putative										fig|6666666.104740.peg.3383	
2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase (EC 2.5.1.-)			fig|6666666.104574.peg.2003							fig|6666666.104740.peg.5625	
2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)							fig|6666666.104681.peg.1187			fig|6666666.104740.peg.4290	
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	fig|6666666.104566.peg.1562	fig|6666666.104573.peg.875	fig|6666666.104574.peg.975	fig|6666666.104604.peg.1267	fig|6666666.104655.peg.818	fig|6666666.104664.peg.841	fig|6666666.104681.peg.3099	fig|6666666.104683.peg.2711	fig|6666666.104692.peg.3297	fig|6666666.104740.peg.3835	
2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)	fig|6666666.104566.peg.509,fig|6666666.104566.peg.1194	fig|6666666.104573.peg.721,fig|6666666.104573.peg.1739	fig|6666666.104574.peg.279	fig|6666666.104604.peg.155	fig|6666666.104655.peg.82	fig|6666666.104664.peg.233,fig|6666666.104664.peg.1650	fig|6666666.104681.peg.2465	fig|6666666.104683.peg.874,fig|6666666.104683.peg.2021	fig|6666666.104692.peg.2306,fig|6666666.104692.peg.3359	fig|6666666.104740.peg.6707	
