FUNCTION	Actinobaculum schaalii FB123-CNA-2 AGWM01	Actinobaculum schaalii DSM 15541 AUBK01	Actinobaculum sp. oral taxon 183 str. F0552 AWSB01	Actinobaculum massiliae ACS-171-V-Col2 AGWL01	Actinobaculum urinale DSM 15805 ATUY01	Actinoalloteichus cyanogriseus JOAL01	Actinocatenispora sera JOEG01	Actinoalloteichus cyanogriseus DSM 43889 AUBJ01	Actinoalloteichus cyanogriseus JODV01	Actinokineospora enzanensis DSM 44649 ARFV01	
(2E,6E)-farnesyl diphosphate synthase (EC 2.5.1.10)	1	1	1	1	1	2	4	1	2	0	
(2E,6Z)-farnesyl diphosphate synthase (EC 2.5.1.68)	0	0	0	0	0	1	0	0	0	1	
(R)-citramalate synthase (EC 2.3.1.182)	0	0	0	0	0	1	1	1	1	1	
(S)-2-hydroxy-acid oxidase (EC 1.1.3.15)	0	0	0	0	0	1	0	1	1	0	
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54)	0	0	0	0	0	1	0	1	1	1	
1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)	2	2	1	1	1	0	1	0	0	1	
1,4-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74)	0	1	0	1	0	1	0	1	1	2	
1,4-dihydroxy-2-naphthoyl-CoA hydrolase (EC 3.1.2.28) in phylloquinone biosynthesis	0	0	0	0	0	0	0	0	0	1	
1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	0	0	0	0	1	3	3	4	4	7	
1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	0	0	1	0	0	1	1	1	1	1	
1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	0	0	1	0	0	1	2	1	1	1	
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)	0	0	1	0	0	1	1	1	1	1	
1-phosphofructokinase (EC 2.7.1.56)	0	0	1	0	0	0	0	1	1	1	
1-pyrroline-4-hydroxy-2-carboxylate deaminase (EC 3.5.4.22)	0	0	0	0	0	0	1	0	0	0	
16S rRNA (guanine(966)-N(2))-methyltransferase (EC 2.1.1.171)	1	1	1	1	0	0	0	0	0	1	
16S rRNA processing protein RimM	1	1	1	1	1	1	1	1	1	1	
2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16)	0	0	0	0	0	1	1	1	1	0	
2'-5' RNA ligase	0	0	0	0	0	1	1	1	1	0	
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (EC 2.3.1.89)	0	0	0	0	0	0	0	0	0	1	
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)	0	0	1	0	0	1	1	1	1	2	
2,3-butanediol dehydrogenase, R-alcohol forming, (R)- and (S)-acetoin-specific (EC 1.1.1.4)	2	2	0	2	0	0	0	0	0	0	
2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58)	0	0	0	0	0	2	1	2	2	0	
2,3-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatase (EC 3.1.3.77)	0	0	0	0	0	1	0	1	1	1	
2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase (EC 4.1.2.-)	0	0	0	0	0	1	0	1	1	0	
2,5-diamino-6-ribitylamino-pyrimidinone 5-phosphate deaminase, fungal (EC 3.5.4.-)	0	0	0	0	0	1	1	1	1	1	
2-Amino-2-deoxy-isochorismate synthase (EC 4.1.3.-)	0	0	0	0	0	0	0	0	0	2	
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)	0	0	1	0	0	1	1	1	1	1	
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)	0	0	1	0	0	1	1	1	1	1	
2-Oxobutyrate oxidase, putative	0	0	0	0	0	0	0	0	0	1	
2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase (EC 2.5.1.-)	0	0	1	0	0	0	0	0	0	1	
2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	0	0	0	0	0	0	1	0	0	1	
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	1	1	1	1	1	1	1	1	1	1	
2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)	2	2	1	1	1	2	1	2	2	1	
2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)	1	1	1	1	1	2	1	3	2	1	
2-dehydropantoate 2-reductase (EC 1.1.1.169)	1	1	0	1	1	0	2	1	1	1	
2-heptaprenyl-1,4-naphthoquinone methyltransferase (EC 2.1.1.163)	0	0	1	1	0	1	0	1	1	1	
2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	1	1	0	1	1	1	1	1	1	2	
2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase (EC 3.7.1.-)	0	0	0	0	0	0	1	0	0	0	
2-hydroxyhepta-2,4-diene-1,7-dioate isomerase (EC 5.3.3.-)	0	0	0	0	0	2	1	2	2	1	
2-isopropylmalate synthase (EC 2.3.3.13)	1	2	1	1	1	1	1	1	1	1	
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	0	0	0	0	0	1	1	1	1	0	
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)	1	1	1	1	1	2	1	2	2	3	
2-keto-3-deoxy-L-fuconate dehydrogenase	0	0	0	0	0	0	1	0	0	0	
2-keto-4-pentenoate hydratase (EC 4.2.1.80)	0	0	0	0	0	0	0	0	0	1	
2-methylaconitate isomerase	0	0	0	0	0	1	0	1	1	0	
2-methylcitrate dehydratase (EC 4.2.1.79)	0	0	0	0	0	1	0	1	1	0	
2-methylcitrate synthase (EC 2.3.3.5)	0	0	0	0	0	0	0	1	1	0	
2-oxo-4-hydroxy-4-carboxy--5-ureidoimidazoline (OHCU) decarboxylase	0	0	0	0	0	0	1	0	0	0	
2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)	0	0	0	0	0	1	1	1	1	2	
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)	0	1	0	0	0	1	0	1	1	1	
23S rRNA (Uracil-5-) -methyltransferase RumA (EC 2.1.1.-)	1	1	0	1	1	1	1	1	1	0	
23S rRNA (Uracil-5-) -methyltransferase rumB (EC 2.1.1.-)	1	1	0	1	0	0	0	0	0	0	
23S rRNA (guanosine-2'-O-) -methyltransferase rlmB (EC 2.1.1.-)	1	1	2	1	1	2	1	2	2	2	
23S rRNA N-6-methyltransferase ErmCX	0	0	0	0	0	0	0	1	1	0	
2H phosphoesterase superfamily protein Bsu1186 (yjcG)	0	0	0	0	0	0	1	0	0	0	
3',5'-cyclic-nucleotide phosphodiesterase (EC 3.1.4.17)	1	1	0	0	1	1	3	1	1	1	
3'-phosphatase, 5'-polynucleotide kinase, phage-associated	0	0	0	0	0	0	1	0	0	1	
3'-to-5' exoribonuclease RNase R	0	0	1	0	0	0	0	0	0	1	
3'-to-5' oligoribonuclease (orn)	1	1	1	1	1	1	1	1	1	1	
3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12)	0	0	0	0	0	1	1	1	1	1	
3,4-dihydroxyphenylacetate 2,3-dioxygenase (EC 1.13.11.15)	0	0	0	0	0	0	0	0	0	1	
3,5-diaminohexanoate dehydrogenase (EC 1.4.1.11)	0	0	0	0	0	0	1	0	0	1	
3,7-dideoxy-D-threo-hepto-2, 6-diulosonate synthase (EC 4.2.3.-)	0	0	0	0	0	0	0	0	0	1	
3-aminobutyryl-CoA ammonia-lyase (EC 4.3.1.14)	0	0	0	0	0	0	1	0	0	1	
3-carboxy-cis,cis-muconate cycloisomerase (EC 5.5.1.2)	0	0	0	0	0	0	0	0	0	1	
3-dehydroquinate dehydratase I (EC 4.2.1.10)	1	1	1	2	1	0	0	0	0	0	
